Iteracion,Mejor Aptitud,Velocidad promedio,Tiempo espera promedio
0,-13.516854576296513,5.4888678843615715,19.005722460658085
1,-13.232094587658416,5.549021292169912,18.781115879828327
2,-13.232094587658416,5.549021292169912,18.781115879828327
3,-11.875332672175054,5.68976031781064,17.565092989985693
4,-11.875332672175054,5.68976031781064,17.565092989985693
5,-11.875332672175054,5.68976031781064,17.565092989985693
6,-11.875332672175054,5.68976031781064,17.565092989985693
7,-11.530962731627987,5.7809113742375375,17.311874105865524
8,-11.530962731627987,5.7809113742375375,17.311874105865524
9,-10.422224916109876,5.82097966185865,16.243204577968527
10,-10.05351434955174,5.897844734854554,15.951359084406295
11,-9.242102422333087,6.0268532285968135,15.2689556509299
12,-8.435161688823356,6.112763919188088,14.547925608011445
13,-8.431241748098188,6.053736792674344,14.484978540772532
14,-7.714324670739441,6.162642425111774,13.876967095851215
15,-7.39679053636396,6.222665829873523,13.619456366237483
16,-6.98673505347342,6.307971670417854,13.294706723891274
17,-6.672078414932553,6.3551032731933415,13.027181688125895
18,-6.024875236359044,6.369974549048681,12.394849785407725
19,-5.678231319239396,6.514901727970905,12.193133047210301
20,-5.579004133952214,6.390952947592851,11.969957081545065
21,-5.309785639108298,6.545722229275108,11.855507868383405
22,-5.309785639108298,6.545722229275108,11.855507868383405
23,-5.039759170626574,6.556807352978575,11.59656652360515
24,-4.637323561778867,6.620187167834867,11.257510729613735
25,-4.637323561778867,6.620187167834867,11.257510729613735
26,-4.637323561778867,6.620187167834867,11.257510729613735
27,-4.637323561778867,6.620187167834867,11.257510729613735
28,-4.462437745352261,6.630552240341586,11.092989985693848
29,-4.4462614263743765,6.678202092938927,11.124463519313304
30,-4.4462614263743765,6.678202092938927,11.124463519313304
31,-4.318632868773621,6.616989448822945,10.935622317596566
32,-4.318632868773621,6.616989448822945,10.935622317596566
33,-3.7731593090835975,6.74186215014387,10.515021459227468
34,-3.7731593090835975,6.74186215014387,10.515021459227468
35,-3.7731593090835975,6.74186215014387,10.515021459227468
36,-3.7731593090835975,6.74186215014387,10.515021459227468
37,-3.7731593090835975,6.74186215014387,10.515021459227468
38,-3.2849812698811443,6.792271949002976,10.07725321888412
39,-3.2849812698811443,6.792271949002976,10.07725321888412
40,-3.1812167343353996,6.823075111158162,10.004291845493562
41,-3.1812167343353996,6.823075111158162,10.004291845493562
42,-3.1812167343353996,6.823075111158162,10.004291845493562
43,-2.8292996126558165,6.883146739275514,9.71244635193133
44,-2.8292996126558165,6.883146739275514,9.71244635193133
45,-2.420929406302591,6.935293769663074,9.356223175965665
46,-2.3857322275871855,6.936156184429981,9.321888412017167
47,-2.3857322275871855,6.936156184429981,9.321888412017167
48,-2.3857322275871855,6.936156184429981,9.321888412017167
49,-2.3857322275871855,6.936156184429981,9.321888412017167
50,-2.2671855804788486,6.950267924528305,9.217453505007153
51,-2.2671855804788486,6.950267924528305,9.217453505007153
52,-2.2671855804788486,6.950267924528305,9.217453505007153
53,-2.2671855804788486,6.950267924528305,9.217453505007153
54,-2.2671855804788486,6.950267924528305,9.217453505007153
55,-2.2671855804788486,6.950267924528305,9.217453505007153
56,-2.197144535359679,7.020308969647474,9.217453505007153
57,-2.197144535359679,7.020308969647474,9.217453505007153
58,-2.1152112481230203,6.989223658886995,9.104434907010015
59,-2.1152112481230203,6.989223658886995,9.104434907010015
60,-2.1152112481230203,6.989223658886995,9.104434907010015
61,-2.1152112481230203,6.989223658886995,9.104434907010015
62,-1.6688233629766742,7.136612974648505,8.80543633762518
63,-1.6688233629766742,7.136612974648505,8.80543633762518
64,-1.6688233629766742,7.136612974648505,8.80543633762518
65,-1.6688233629766742,7.136612974648505,8.80543633762518
66,-1.6688233629766742,7.136612974648505,8.80543633762518
67,-1.6688233629766742,7.136612974648505,8.80543633762518
68,-1.6688233629766742,7.136612974648505,8.80543633762518
69,-1.6688233629766742,7.136612974648505,8.80543633762518
70,-1.6688233629766742,7.136612974648505,8.80543633762518
71,-1.6688233629766742,7.136612974648505,8.80543633762518
72,-1.6688233629766742,7.136612974648505,8.80543633762518
73,-1.6688233629766742,7.136612974648505,8.80543633762518
74,-1.6688233629766742,7.136612974648505,8.80543633762518
75,-1.6688233629766742,7.136612974648505,8.80543633762518
76,-1.6688233629766742,7.136612974648505,8.80543633762518
77,-1.5928923458220199,7.151027539728767,8.743919885550786
78,-1.5928923458220199,7.151027539728767,8.743919885550786
79,-1.5928923458220199,7.151027539728767,8.743919885550786
80,-1.5928923458220199,7.151027539728767,8.743919885550786
81,-1.5928923458220199,7.151027539728767,8.743919885550786
82,-1.5928923458220199,7.151027539728767,8.743919885550786
83,-1.5928923458220199,7.151027539728767,8.743919885550786
84,-1.5928923458220199,7.151027539728767,8.743919885550786
85,-1.5928923458220199,7.151027539728767,8.743919885550786
86,-1.5928923458220199,7.151027539728767,8.743919885550786
87,-1.5928923458220199,7.151027539728767,8.743919885550786
88,-1.5928923458220199,7.151027539728767,8.743919885550786
89,-1.5928923458220199,7.151027539728767,8.743919885550786
90,-1.5928923458220199,7.151027539728767,8.743919885550786
91,-1.5928923458220199,7.151027539728767,8.743919885550786
92,-1.5928923458220199,7.151027539728767,8.743919885550786
93,-1.5928923458220199,7.151027539728767,8.743919885550786
94,-1.5928923458220199,7.151027539728767,8.743919885550786
95,-1.5928923458220199,7.151027539728767,8.743919885550786
96,-1.5928923458220199,7.151027539728767,8.743919885550786
97,-1.5928923458220199,7.151027539728767,8.743919885550786
98,-1.5928923458220199,7.151027539728767,8.743919885550786
99,-1.5928923458220199,7.151027539728767,8.743919885550786
100,-1.5928923458220199,7.151027539728767,8.743919885550786
101,-1.5928923458220199,7.151027539728767,8.743919885550786
102,-1.5928923458220199,7.151027539728767,8.743919885550786
103,-1.5928923458220199,7.151027539728767,8.743919885550786
104,-1.5928923458220199,7.151027539728767,8.743919885550786
105,-1.5928923458220199,7.151027539728767,8.743919885550786
106,-1.5928923458220199,7.151027539728767,8.743919885550786
107,-1.5928923458220199,7.151027539728767,8.743919885550786
108,-1.5928923458220199,7.151027539728767,8.743919885550786
109,-1.5928923458220199,7.151027539728767,8.743919885550786
110,-1.5928923458220199,7.151027539728767,8.743919885550786
111,-1.5928923458220199,7.151027539728767,8.743919885550786
112,-1.5928923458220199,7.151027539728767,8.743919885550786
113,-1.5928923458220199,7.151027539728767,8.743919885550786
114,-1.5928923458220199,7.151027539728767,8.743919885550786
115,-1.5928923458220199,7.151027539728767,8.743919885550786
116,-1.5928923458220199,7.151027539728767,8.743919885550786
117,-1.5928923458220199,7.151027539728767,8.743919885550786
118,-1.5928923458220199,7.151027539728767,8.743919885550786
119,-1.5928923458220199,7.151027539728767,8.743919885550786
120,-1.5928923458220199,7.151027539728767,8.743919885550786
121,-1.5928923458220199,7.151027539728767,8.743919885550786
122,-1.5928923458220199,7.151027539728767,8.743919885550786
123,-1.5928923458220199,7.151027539728767,8.743919885550786
124,-1.5928923458220199,7.151027539728767,8.743919885550786
125,-1.5928923458220199,7.151027539728767,8.743919885550786
126,-1.5928923458220199,7.151027539728767,8.743919885550786
127,-1.5928923458220199,7.151027539728767,8.743919885550786
128,-1.5928923458220199,7.151027539728767,8.743919885550786
129,-1.5928923458220199,7.151027539728767,8.743919885550786
130,-1.5928923458220199,7.151027539728767,8.743919885550786
131,-1.5928923458220199,7.151027539728767,8.743919885550786
132,-1.5928923458220199,7.151027539728767,8.743919885550786
133,-1.5928923458220199,7.151027539728767,8.743919885550786
134,-1.5928923458220199,7.151027539728767,8.743919885550786
135,-1.5928923458220199,7.151027539728767,8.743919885550786
136,-1.5928923458220199,7.151027539728767,8.743919885550786
137,-1.5928923458220199,7.151027539728767,8.743919885550786
138,-1.5928923458220199,7.151027539728767,8.743919885550786
139,-1.5928923458220199,7.151027539728767,8.743919885550786
140,-1.5928923458220199,7.151027539728767,8.743919885550786
141,-1.5928923458220199,7.151027539728767,8.743919885550786
142,-1.5928923458220199,7.151027539728767,8.743919885550786
143,-1.5928923458220199,7.151027539728767,8.743919885550786
144,-1.5928923458220199,7.151027539728767,8.743919885550786
145,-1.5928923458220199,7.151027539728767,8.743919885550786
146,-1.5928923458220199,7.151027539728767,8.743919885550786
147,-1.5928923458220199,7.151027539728767,8.743919885550786
148,-1.5928923458220199,7.151027539728767,8.743919885550786
149,-1.5928923458220199,7.151027539728767,8.743919885550786
150,-1.5928923458220199,7.151027539728767,8.743919885550786
151,-1.5928923458220199,7.151027539728767,8.743919885550786
152,-1.5928923458220199,7.151027539728767,8.743919885550786
153,-1.5928923458220199,7.151027539728767,8.743919885550786
154,-1.5928923458220199,7.151027539728767,8.743919885550786
155,-1.5928923458220199,7.151027539728767,8.743919885550786
156,-1.5928923458220199,7.151027539728767,8.743919885550786
157,-1.5928923458220199,7.151027539728767,8.743919885550786
158,-1.5928923458220199,7.151027539728767,8.743919885550786
159,-1.5928923458220199,7.151027539728767,8.743919885550786
160,-1.5928923458220199,7.151027539728767,8.743919885550786
161,-1.5928923458220199,7.151027539728767,8.743919885550786
162,-1.5928923458220199,7.151027539728767,8.743919885550786
163,-1.5928923458220199,7.151027539728767,8.743919885550786
164,-1.5928923458220199,7.151027539728767,8.743919885550786
165,-1.5928923458220199,7.151027539728767,8.743919885550786
166,-1.5928923458220199,7.151027539728767,8.743919885550786
167,-1.5928923458220199,7.151027539728767,8.743919885550786
168,-1.5928923458220199,7.151027539728767,8.743919885550786
169,-1.5928923458220199,7.151027539728767,8.743919885550786
170,-1.5928923458220199,7.151027539728767,8.743919885550786
171,-1.5928923458220199,7.151027539728767,8.743919885550786
172,-1.5928923458220199,7.151027539728767,8.743919885550786
173,-1.5928923458220199,7.151027539728767,8.743919885550786
174,-1.5928923458220199,7.151027539728767,8.743919885550786
175,-1.5928923458220199,7.151027539728767,8.743919885550786
176,-1.5928923458220199,7.151027539728767,8.743919885550786
177,-1.5928923458220199,7.151027539728767,8.743919885550786
178,-1.5928923458220199,7.151027539728767,8.743919885550786
179,-1.5928923458220199,7.151027539728767,8.743919885550786
180,-1.5928923458220199,7.151027539728767,8.743919885550786
181,-1.5928923458220199,7.151027539728767,8.743919885550786
182,-1.5928923458220199,7.151027539728767,8.743919885550786
183,-1.5928923458220199,7.151027539728767,8.743919885550786
184,-1.5928923458220199,7.151027539728767,8.743919885550786
