Iteracion,Mejor Aptitud,Velocidad promedio,Tiempo espera promedio
0,-21.19256209249233,4.966236190769472,26.158798283261802
1,-17.95075081369065,5.198033163419506,23.148783977110156
2,-17.458528572162628,5.253917779768703,22.71244635193133
3,-15.166087957223862,5.443354102861973,20.609442060085836
4,-14.347635354192416,5.555082814620175,19.90271816881259
5,-13.311399357654562,5.575582044348298,18.88698140200286
6,-12.328310467742675,5.668828301928283,17.997138769670958
7,-10.726166360632753,5.8246204777077315,16.550786838340485
8,-10.726166360632753,5.8246204777077315,16.550786838340485
9,-9.507713009824409,6.015892140390184,15.523605150214593
10,-9.304810772001957,6.021369485508772,15.32618025751073
11,-8.23685097568718,6.152276349062462,14.389127324749643
12,-8.23685097568718,6.152276349062462,14.389127324749643
13,-7.880207922304186,6.242824981844598,14.123032904148785
14,-7.155995701090682,6.274619463430061,13.430615164520743
15,-6.539759444866561,6.375834260426715,12.915593705293276
16,-6.539759444866561,6.375834260426715,12.915593705293276
17,-6.165106770070624,6.457210826495899,12.622317596566523
18,-5.500357008202097,6.529685910252838,12.030042918454935
19,-5.168164386242258,6.554296271840719,11.722460658082976
20,-4.537006422569311,6.643251088160303,11.180257510729614
21,-4.537006422569311,6.643251088160303,11.180257510729614
22,-4.001010584911253,6.725741918665285,10.726752503576538
23,-2.918243995949034,7.005933400331367,9.9241773962804
24,-2.216144450886537,7.08428473366282,9.300429184549357
25,-1.8565997452824545,7.119079796920693,8.975679542203148
26,-1.6898442221253376,7.174247337245191,8.864091559370529
27,-1.435950878720818,7.184936102681186,8.620886981402004
28,-1.435950878720818,7.184936102681186,8.620886981402004
29,-1.2297431408114123,7.253804784796599,8.483547925608011
30,-1.2297431408114123,7.253804784796599,8.483547925608011
31,-1.0592351739319428,7.235471549959331,8.294706723891274
32,-0.8475716974475507,7.2954898190045245,8.143061516452075
33,-0.8475716974475507,7.2954898190045245,8.143061516452075
34,-0.8475716974475507,7.2954898190045245,8.143061516452075
35,-0.8475716974475507,7.2954898190045245,8.143061516452075
36,-0.8475716974475507,7.2954898190045245,8.143061516452075
37,-0.8163569397190331,7.30524534926523,8.121602288984263
38,-0.8163569397190331,7.30524534926523,8.121602288984263
39,-0.8163569397190331,7.30524534926523,8.121602288984263
40,-0.8163569397190331,7.30524534926523,8.121602288984263
41,-0.8163569397190331,7.30524534926523,8.121602288984263
42,-0.8163569397190331,7.30524534926523,8.121602288984263
43,-0.8163569397190331,7.30524534926523,8.121602288984263
44,-0.8163569397190331,7.30524534926523,8.121602288984263
45,-0.8163569397190331,7.30524534926523,8.121602288984263
46,-0.8163569397190331,7.30524534926523,8.121602288984263
47,-0.8163569397190331,7.30524534926523,8.121602288984263
48,-0.8163569397190331,7.30524534926523,8.121602288984263
49,-0.7665128646926513,7.309309739026948,8.0758226037196
50,-0.7665128646926513,7.309309739026948,8.0758226037196
51,-0.7665128646926513,7.309309739026948,8.0758226037196
52,-0.43458526669552366,7.400893989384591,7.835479256080115
53,-0.43458526669552366,7.400893989384591,7.835479256080115
54,-0.43458526669552366,7.400893989384591,7.835479256080115
55,-0.43458526669552366,7.400893989384591,7.835479256080115
56,-0.43458526669552366,7.400893989384591,7.835479256080115
57,-0.43458526669552366,7.400893989384591,7.835479256080115
58,-0.43458526669552366,7.400893989384591,7.835479256080115
59,-0.43458526669552366,7.400893989384591,7.835479256080115
60,-0.43458526669552366,7.400893989384591,7.835479256080115
61,-0.43458526669552366,7.400893989384591,7.835479256080115
62,-0.43458526669552366,7.400893989384591,7.835479256080115
63,-0.43458526669552366,7.400893989384591,7.835479256080115
64,-0.43458526669552366,7.400893989384591,7.835479256080115
65,-0.43458526669552366,7.400893989384591,7.835479256080115
66,-0.43458526669552366,7.400893989384591,7.835479256080115
67,-0.43458526669552366,7.400893989384591,7.835479256080115
68,-0.156144756348378,7.376044084853339,7.532188841201717
69,-0.156144756348378,7.376044084853339,7.532188841201717
70,-0.156144756348378,7.376044084853339,7.532188841201717
71,-0.156144756348378,7.376044084853339,7.532188841201717
72,-0.156144756348378,7.376044084853339,7.532188841201717
73,-0.0014442990059615468,7.404850407717929,7.406294706723891
74,-0.0014442990059615468,7.404850407717929,7.406294706723891
75,-0.0014442990059615468,7.404850407717929,7.406294706723891
76,-0.0014442990059615468,7.404850407717929,7.406294706723891
77,-0.0014442990059615468,7.404850407717929,7.406294706723891
78,-0.0014442990059615468,7.404850407717929,7.406294706723891
79,-0.0014442990059615468,7.404850407717929,7.406294706723891
80,-0.0014442990059615468,7.404850407717929,7.406294706723891
81,-0.0014442990059615468,7.404850407717929,7.406294706723891
82,-0.0014442990059615468,7.404850407717929,7.406294706723891
83,-0.0014442990059615468,7.404850407717929,7.406294706723891
84,-0.0014442990059615468,7.404850407717929,7.406294706723891
85,-0.0014442990059615468,7.404850407717929,7.406294706723891
86,-0.0014442990059615468,7.404850407717929,7.406294706723891
87,-0.0014442990059615468,7.404850407717929,7.406294706723891
88,-0.0014442990059615468,7.404850407717929,7.406294706723891
89,-0.0014442990059615468,7.404850407717929,7.406294706723891
90,-0.0014442990059615468,7.404850407717929,7.406294706723891
91,-0.0014442990059615468,7.404850407717929,7.406294706723891
92,-0.0014442990059615468,7.404850407717929,7.406294706723891
93,-0.0014442990059615468,7.404850407717929,7.406294706723891
94,-0.0014442990059615468,7.404850407717929,7.406294706723891
95,-0.0014442990059615468,7.404850407717929,7.406294706723891
96,-0.0014442990059615468,7.404850407717929,7.406294706723891
97,-0.0014442990059615468,7.404850407717929,7.406294706723891
