Iteracion,Mejor Aptitud,Velocidad promedio,Tiempo espera promedio
0,-25.19651349866011,4.610353454129591,29.8068669527897
1,-21.54005859504928,4.936336254736126,26.476394849785407
2,-20.933963187675364,5.011673436072846,25.94563662374821
3,-17.718458909424307,5.234330790146507,22.952789699570815
4,-17.420490399590665,5.256190573227646,22.67668097281831
5,-15.237115967218838,5.505373303167428,20.742489270386265
6,-14.107806042891301,5.563152469268929,19.67095851216023
7,-12.807626042271341,5.720270953436813,18.527896995708154
8,-11.763726764698685,5.785629458477281,17.549356223175966
9,-11.763726764698685,5.785629458477281,17.549356223175966
10,-11.763726764698685,5.785629458477281,17.549356223175966
11,-11.763726764698685,5.785629458477281,17.549356223175966
12,-11.483088212455675,5.828785893409849,17.311874105865524
13,-11.483088212455675,5.828785893409849,17.311874105865524
14,-11.483088212455675,5.828785893409849,17.311874105865524
15,-9.274362401816123,6.050387240530085,15.324749642346209
16,-9.274362401816123,6.050387240530085,15.324749642346209
17,-9.274362401816123,6.050387240530085,15.324749642346209
18,-9.118243098779121,6.092057330405427,15.21030042918455
19,-8.295054790958607,6.187062519484883,14.48211731044349
20,-8.295054790958607,6.187062519484883,14.48211731044349
21,-8.295054790958607,6.187062519484883,14.48211731044349
22,-8.226132304847466,6.223080856812047,14.449213161659513
23,-8.226132304847466,6.223080856812047,14.449213161659513
24,-8.226132304847466,6.223080856812047,14.449213161659513
25,-6.592574368797681,6.510429923047813,13.103004291845494
26,-6.592574368797681,6.510429923047813,13.103004291845494
27,-6.592574368797681,6.510429923047813,13.103004291845494
28,-6.592574368797681,6.510429923047813,13.103004291845494
29,-6.592574368797681,6.510429923047813,13.103004291845494
30,-6.592574368797681,6.510429923047813,13.103004291845494
31,-6.592574368797681,6.510429923047813,13.103004291845494
32,-6.592574368797681,6.510429923047813,13.103004291845494
33,-6.592574368797681,6.510429923047813,13.103004291845494
34,-5.509098369988443,6.623948840311986,12.133047210300429
35,-5.509098369988443,6.623948840311986,12.133047210300429
36,-5.509098369988443,6.623948840311986,12.133047210300429
37,-5.509098369988443,6.623948840311986,12.133047210300429
38,-4.769654575255721,6.669544280252147,11.439198855507868
39,-4.769654575255721,6.669544280252147,11.439198855507868
40,-4.769654575255721,6.669544280252147,11.439198855507868
41,-4.769654575255721,6.669544280252147,11.439198855507868
42,-4.614831229751267,6.632665193710822,11.247496423462088
43,-4.614831229751267,6.632665193710822,11.247496423462088
44,-3.0220216528393795,6.907878204099104,9.929899856938484
45,-3.0220216528393795,6.907878204099104,9.929899856938484
46,-3.0220216528393795,6.907878204099104,9.929899856938484
47,-3.0220216528393795,6.907878204099104,9.929899856938484
48,-3.0220216528393795,6.907878204099104,9.929899856938484
49,-2.770258223374359,6.912145210102036,9.682403433476395
50,-2.770258223374359,6.912145210102036,9.682403433476395
51,-2.770258223374359,6.912145210102036,9.682403433476395
52,-2.770258223374359,6.912145210102036,9.682403433476395
53,-2.770258223374359,6.912145210102036,9.682403433476395
54,-2.770258223374359,6.912145210102036,9.682403433476395
55,-2.770258223374359,6.912145210102036,9.682403433476395
56,-2.770258223374359,6.912145210102036,9.682403433476395
57,-2.770258223374359,6.912145210102036,9.682403433476395
58,-2.770258223374359,6.912145210102036,9.682403433476395
59,-2.770258223374359,6.912145210102036,9.682403433476395
60,-2.770258223374359,6.912145210102036,9.682403433476395
61,-2.770258223374359,6.912145210102036,9.682403433476395
62,-2.770258223374359,6.912145210102036,9.682403433476395
63,-2.6485051992553705,6.922310251388406,9.570815450643776
64,-2.6485051992553705,6.922310251388406,9.570815450643776
65,-2.6485051992553705,6.922310251388406,9.570815450643776
66,-1.4671090407880554,7.099414564362159,8.566523605150214
67,-1.4671090407880554,7.099414564362159,8.566523605150214
68,-1.4671090407880554,7.099414564362159,8.566523605150214
69,-1.4671090407880554,7.099414564362159,8.566523605150214
70,-1.4671090407880554,7.099414564362159,8.566523605150214
71,-1.4671090407880554,7.099414564362159,8.566523605150214
72,-1.4671090407880554,7.099414564362159,8.566523605150214
73,-1.4671090407880554,7.099414564362159,8.566523605150214
74,-1.4671090407880554,7.099414564362159,8.566523605150214
75,-1.4671090407880554,7.099414564362159,8.566523605150214
76,-1.4671090407880554,7.099414564362159,8.566523605150214
77,-1.4671090407880554,7.099414564362159,8.566523605150214
78,-1.4671090407880554,7.099414564362159,8.566523605150214
79,-1.4671090407880554,7.099414564362159,8.566523605150214
80,-1.4671090407880554,7.099414564362159,8.566523605150214
81,-1.4671090407880554,7.099414564362159,8.566523605150214
82,-1.4671090407880554,7.099414564362159,8.566523605150214
83,-1.4671090407880554,7.099414564362159,8.566523605150214
84,-1.4671090407880554,7.099414564362159,8.566523605150214
85,-1.4671090407880554,7.099414564362159,8.566523605150214
86,-1.4671090407880554,7.099414564362159,8.566523605150214
87,-1.4671090407880554,7.099414564362159,8.566523605150214
88,-1.4671090407880554,7.099414564362159,8.566523605150214
89,-1.4671090407880554,7.099414564362159,8.566523605150214
90,-1.4671090407880554,7.099414564362159,8.566523605150214
91,-1.4671090407880554,7.099414564362159,8.566523605150214
92,-1.4671090407880554,7.099414564362159,8.566523605150214
93,-1.4671090407880554,7.099414564362159,8.566523605150214
94,-1.4671090407880554,7.099414564362159,8.566523605150214
95,-1.4671090407880554,7.099414564362159,8.566523605150214
96,-1.4671090407880554,7.099414564362159,8.566523605150214
97,-1.4546691547479647,7.121868756553894,8.576537911301859
98,-1.4546691547479647,7.121868756553894,8.576537911301859
99,-1.2785884985815414,7.1362898991294745,8.414878397711016
