Iteracion,Mejor Aptitud,Velocidad promedio,Tiempo espera promedio
0,-3460.5882001954956,0.22082091774816345,3460.809021113244
1,-2166.593138549065,0.34256202675062053,2166.9357005758156
2,-2166.593138549065,0.34256202675062053,2166.9357005758156
3,-2166.593138549065,0.34256202675062053,2166.9357005758156
4,-2166.593138549065,0.34256202675062053,2166.9357005758156
5,-2166.593138549065,0.34256202675062053,2166.9357005758156
6,-1627.9859408498874,0.4315255608612457,1628.4174664107486
7,-1627.9859408498874,0.4315255608612457,1628.4174664107486
8,-1627.9859408498874,0.4315255608612457,1628.4174664107486
9,-1557.1612491226304,0.44815586777288885,1557.6094049904032
10,-1400.8169451493598,0.4920759638839957,1401.3090211132437
11,-1400.8169451493598,0.4920759638839957,1401.3090211132437
12,-1400.8169451493598,0.4920759638839957,1401.3090211132437
13,-1376.5541357799952,0.5005667152062735,1377.0547024952016
14,-1325.187919245652,0.5088177984940458,1325.696737044146
15,-1325.187919245652,0.5088177984940458,1325.696737044146
16,-1022.5883080214016,0.6305019594044771,1023.2188099808061
17,-1022.5883080214016,0.6305019594044771,1023.2188099808061
18,-1022.5883080214016,0.6305019594044771,1023.2188099808061
19,-1022.5883080214016,0.6305019594044771,1023.2188099808061
20,-1022.5883080214016,0.6305019594044771,1023.2188099808061
21,-1022.5883080214016,0.6305019594044771,1023.2188099808061
22,-743.778378366197,0.802235837257836,744.5806142034548
23,-743.778378366197,0.802235837257836,744.5806142034548
24,-743.778378366197,0.802235837257836,744.5806142034548
25,-743.778378366197,0.802235837257836,744.5806142034548
26,-743.778378366197,0.802235837257836,744.5806142034548
27,-673.682946494342,0.8631187647750475,674.5460652591171
28,-673.682946494342,0.8631187647750475,674.5460652591171
29,-673.682946494342,0.8631187647750475,674.5460652591171
30,-673.682946494342,0.8631187647750475,674.5460652591171
31,-673.682946494342,0.8631187647750475,674.5460652591171
32,-517.9754278491056,1.0293706153858504,519.0047984644914
33,-517.9754278491056,1.0293706153858504,519.0047984644914
34,-517.9754278491056,1.0293706153858504,519.0047984644914
35,-517.9754278491056,1.0293706153858504,519.0047984644914
36,-517.9754278491056,1.0293706153858504,519.0047984644914
37,-481.1616653579106,1.0907338743350958,482.2523992322457
38,-481.1616653579106,1.0907338743350958,482.2523992322457
39,-481.1616653579106,1.0907338743350958,482.2523992322457
40,-390.03928050439663,1.2409498218989303,391.28023032629557
41,-390.03928050439663,1.2409498218989303,391.28023032629557
42,-369.8498019565053,1.2605627267960196,371.1103646833013
43,-369.8498019565053,1.2605627267960196,371.1103646833013
44,-369.8498019565053,1.2605627267960196,371.1103646833013
45,-369.8498019565053,1.2605627267960196,371.1103646833013
46,-334.67976560246797,1.3490251844801748,336.02879078694815
47,-313.46962239591556,1.3777864332590595,314.84740882917464
48,-313.46962239591556,1.3777864332590595,314.84740882917464
49,-313.46962239591556,1.3777864332590595,314.84740882917464
50,-313.46962239591556,1.3777864332590595,314.84740882917464
51,-313.46962239591556,1.3777864332590595,314.84740882917464
52,-313.46962239591556,1.3777864332590595,314.84740882917464
53,-313.46962239591556,1.3777864332590595,314.84740882917464
54,-311.61359584994966,1.359532748898715,312.97312859884835
55,-311.61359584994966,1.359532748898715,312.97312859884835
56,-311.61359584994966,1.359532748898715,312.97312859884835
57,-311.61359584994966,1.359532748898715,312.97312859884835
58,-311.61359584994966,1.359532748898715,312.97312859884835
59,-289.7168709181889,1.4213248591623717,291.13819577735126
60,-289.7168709181889,1.4213248591623717,291.13819577735126
61,-289.7168709181889,1.4213248591623717,291.13819577735126
62,-289.7168709181889,1.4213248591623717,291.13819577735126
63,-289.7168709181889,1.4213248591623717,291.13819577735126
64,-289.7168709181889,1.4213248591623717,291.13819577735126
65,-289.7168709181889,1.4213248591623717,291.13819577735126
66,-289.7168709181889,1.4213248591623717,291.13819577735126
67,-289.7168709181889,1.4213248591623717,291.13819577735126
68,-289.7168709181889,1.4213248591623717,291.13819577735126
69,-283.01650679166295,1.4403070279148262,284.45681381957775
