Iteracion,Mejor Aptitud,Velocidad promedio,Tiempo espera promedio
0,-21.55793991416309,5.253075951944623,21.55793991416309
1,-18.010014306151646,5.628950215978021,18.010014306151646
2,-18.010014306151646,5.628950215978021,18.010014306151646
3,-18.010014306151646,5.628950215978021,18.010014306151646
4,-18.010014306151646,5.628950215978021,18.010014306151646
5,-18.010014306151646,5.628950215978021,18.010014306151646
6,-17.34763948497854,5.782762869047092,17.34763948497854
7,-17.34763948497854,5.782762869047092,17.34763948497854
8,-17.34763948497854,5.782762869047092,17.34763948497854
9,-16.84406294706724,5.8074747906725595,16.84406294706724
10,-16.69527896995708,5.796011499674337,16.69527896995708
11,-15.319027181688126,5.96229405920005,15.319027181688126
12,-13.452074391988555,6.29492747970651,13.452074391988555
13,-13.439198855507868,6.3949049684054,13.439198855507868
14,-13.439198855507868,6.3949049684054,13.439198855507868
15,-12.703862660944205,6.290914032222691,12.703862660944205
16,-12.703862660944205,6.290914032222691,12.703862660944205
17,-11.94277539341917,6.362273556530749,11.94277539341917
18,-11.94277539341917,6.362273556530749,11.94277539341917
19,-11.062947067238913,6.628892599347533,11.062947067238913
20,-11.062947067238913,6.628892599347533,11.062947067238913
21,-10.576537911301859,6.622030584492233,10.576537911301859
22,-10.38483547925608,6.672302937829737,10.38483547925608
23,-10.277539341917024,6.604266079701064,10.277539341917024
24,-9.447782546494993,6.8739391517476625,9.447782546494993
25,-9.447782546494993,6.8739391517476625,9.447782546494993
26,-8.944206008583691,6.932537417707918,8.944206008583691
27,-8.59513590844063,7.074239425422848,8.59513590844063
28,-8.59513590844063,7.074239425422848,8.59513590844063
29,-8.59513590844063,7.074239425422848,8.59513590844063
30,-8.447782546494993,6.978782401645114,8.447782546494993
31,-8.266094420600858,7.090642607811344,8.266094420600858
32,-8.266094420600858,7.090642607811344,8.266094420600858
33,-7.761087267525036,7.160880048891607,7.761087267525036
34,-7.5965665236051505,7.229476370775486,7.5965665236051505
35,-7.5965665236051505,7.229476370775486,7.5965665236051505
36,-7.5965665236051505,7.229476370775486,7.5965665236051505
37,-7.334763948497854,7.264994926719279,7.334763948497854
38,-7.334763948497854,7.264994926719279,7.334763948497854
39,-6.6552217453505005,7.310728242066759,6.6552217453505005
40,-6.6552217453505005,7.310728242066759,6.6552217453505005
41,-6.6552217453505005,7.310728242066759,6.6552217453505005
